trial_number,alpha,min_df,max_df,norm,use_idf,smooth_idf,sublinear_tf,accuracy_train,accuracy_test,accuracy_mean
72,2.7019865945816695,301,0.5547150999119728,,True,False,True,0.7618473191748927,0.7312409381663113,0.746544128670602
73,1.8565651305107775,1,0.7077311458691418,,True,False,True,0.8315257840363619,0.6962046908315564,0.7638652374339592
74,1.8814151786035402,1,0.7000815175197259,l1,True,False,True,0.4889965199460125,0.4678379530916844,0.4784172365188485
75,1.372780243048529,301,0.6402258775339051,,True,False,True,0.762004365430705,0.7313091684434968,0.7466567669371009
76,0.567645818988906,101,0.7611633568855344,,True,False,True,0.7709491739139341,0.7375181236673773,0.7542336487906558
77,1.117241574252581,1,0.8020885110510052,,True,False,True,0.8335309688388364,0.6885287846481877,0.761029876743512
78,0.5618780506348171,51,0.8255929600171487,,True,False,True,0.7707670912984994,0.7348912579957356,0.7528291746471175
79,0.9855631823942693,2501,0.780486875119245,,True,False,True,0.35756246002717584,0.3481620469083156,0.3528622534677457
80,0.4080595621481536,1,0.74684599649147,l1,True,False,True,0.5386709334692884,0.5064392324093817,0.5225550829393351
81,2.1834387102321267,351,0.8722839772439815,,True,False,True,0.7593618914742092,0.7284605543710021,0.7439112229226057
82,1.3267825893100602,101,0.7394700407006674,,True,False,True,0.7709195854889259,0.7375351812366737,0.7542273833627998
83,1.3378504736126429,301,0.7245478021879089,,True,False,True,0.7620089174960909,0.7312921108742004,0.7466505141851456
84,0.5817645773778042,51,0.814849290022905,,True,False,True,0.7707670912984994,0.7348912579957356,0.7528291746471175
85,1.0386625286244537,551,0.7608386482504755,,True,False,True,0.740204524297787,0.7095607675906184,0.7248826459442027
86,0.3516869400513694,251,0.7048506498628265,,True,False,True,0.7641347320312909,0.7333560767590618,0.7487454043951763
87,0.8228720535462393,1,0.8022423474662301,,True,False,True,0.8345164909948767,0.6848784648187634,0.75969747790682
88,0.6776478745179816,1,0.8723205815709099,,True,False,True,0.8349375570430694,0.6828997867803838,0.7589186719117266
89,0.6801542010878916,3251,0.9290601611957459,,True,False,True,0.32570255439149126,0.3198123667377399,0.3227574605646156
90,0.26860553586311464,1,0.9375746980757974,,True,False,True,0.8364943634050359,0.675138592750533,0.7558164780777845
91,0.29919324550618903,51,0.922105464233638,,True,False,True,0.7707648152658064,0.7348912579957356,0.752828036630771
92,0.8834633117995992,1,0.9555396986148726,,True,False,True,0.834297991856355,0.6854243070362473,0.7598611494463012
93,0.8625913044659835,1,0.8935397315201186,,True,False,True,0.83440268936023,0.6851855010660981,0.7597940952131641
94,0.8747404861437218,251,0.8926429154470229,,True,False,True,0.7641597683909132,0.733321961620469,0.748740865005691
95,0.16035489274245576,1,0.9944909674129269,,True,False,True,0.8369336377147721,0.6725970149253732,0.7547653263200726
96,0.24539835374106075,1,0.9866813402590215,l1,True,False,True,0.5535971558695469,0.5157014925373135,0.5346493242034303
97,0.16861226998418732,401,0.9582455483257485,,True,False,True,0.7562664870118194,0.72527078891258,0.7407686379621997
98,0.4273327612584273,1,0.8718202325346974,,True,False,True,0.8358343139240852,0.6783283582089552,0.7570813360665203
99,0.17173914908036708,1,0.865817215006762,,True,False,True,0.8368721848320629,0.6727846481876333,0.7548284165098481
